# iter num_samples num_i pi relative_err time_accum
1 960000000 753993131 3.141638 1.44488e-05 16.1128
1 1920000000 1507991254 3.141648 1.77592e-05 31.9532
1 2880000000 2261988655 3.141651 1.85435e-05 47.6909
1 3840000000 3015987801 3.141654 1.95142e-05 63.6466
1 4800000000 3769986672 3.141656 2.00237e-05 79.3216
1 5760000000 4523983804 3.141655 1.9979e-05 95.3583
1 6720000000 5277981624 3.141656 2.00774e-05 111.095
1 7680000000 6031973980 3.141653 1.92453e-05 127.09
1 8640000000 6785969675 3.141653 1.90902e-05 143.055
1 9600000000 7539967409 3.141653 1.92366e-05 159.345
1 10560000000 8293968464 3.141655 1.97567e-05 175.358
1 11520000000 9047973739 3.141658 2.06566e-05 191.297
1 12480000000 9801980506 3.141660 2.15703e-05 207.303
1 13440000000 10555985447 3.141662 2.21804e-05 223.058
1 14400000000 11309989626 3.141664 2.26418e-05 239.566
1 15360000000 12063990316 3.141664 2.27564e-05 255.284
1 16320000000 12817995141 3.141665 2.318e-05 271.018
1 17280000000 13572006261 3.141668 2.40204e-05 286.731
1 18240000000 14326017423 3.141670 2.47753e-05 302.736
1 19200000000 15080026366 3.141672 2.53075e-05 318.479
1 20160000000 15834035223 3.141674 2.57837e-05 334.472
1 21120000000 16588042681 3.141675 2.61322e-05 350.234
1 22080000000 17342046242 3.141675 2.62256e-05 366.751
1 23040000000 18096048099 3.141675 2.62172e-05 382.847
1 24000000000 18850053794 3.141676 2.6413e-05 398.784
1 24960000000 19604058078 3.141676 2.65217e-05 414.773
1 25920000000 20358060063 3.141676 2.65095e-05 430.808
1 26880000000 21112055578 3.141675 2.61917e-05 446.861
1 27840000000 21866055522 3.141675 2.60984e-05 462.978
1 28800000000 22620053084 3.141674 2.59059e-05 478.84
1 29760000000 23374053576 3.141674 2.58513e-05 494.809
1 30720000000 24128049774 3.141673 2.56221e-05 510.881
1 31680000000 24882036921 3.141671 2.5043e-05 526.923
1 32640000000 25636024653 3.141670 2.45208e-05 542.673
1 33600000000 26390014373 3.141668 2.41037e-05 558.688
1 34560000000 27144003914 3.141667 2.37033e-05 574.739
1 35520000000 27897988124 3.141665 2.31334e-05 590.755
1 36480000000 28651970089 3.141663 2.25151e-05 606.491
1 37440000000 29405950016 3.141661 2.18593e-05 622.55
1 38400000000 30159930780 3.141659 2.1264e-05 638.301
1 39360000000 30913911429 3.141658 2.0694e-05 654.493
1 40320000000 31667891372 3.141656 2.01288e-05 670.959
1 41280000000 32421871207 3.141654 1.95866e-05 686.986
1 42240000000 33175851572 3.141653 1.9085e-05 702.836
1 43200000000 33929830828 3.141651 1.85731e-05 718.564
